GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022000008,526,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,11,42,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-47,38,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,542,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,10,0,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,13,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,556,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,8,42,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-127,65,1,0,20201225,LAL,DAL
Shot Chart Detail,0022000008,597,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,5,21,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,18,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000031,510,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,6,5,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,122,102,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,517,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,5,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-27,268,1,0,20201227,LAC,DAL
Shot Chart Detail,0022000031,562,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,1,7,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,566,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,0,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-68,256,1,0,20201227,LAC,DAL
Shot Chart Detail,0022000059,697,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,2,49,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-22,39,1,1,20201230,DAL,CHA
Shot Chart Detail,0022000059,714,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,1,52,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-23,22,1,0,20201230,DAL,CHA
Shot Chart Detail,0022000090,118,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,1,2,30,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20210103,CHI,DAL
Shot Chart Detail,0022000090,158,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,2,11,7,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,8,85,1,0,20210103,CHI,DAL
Shot Chart Detail,0022000090,160,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,2,11,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,15,1,1,20210103,CHI,DAL
Shot Chart Detail,0022000090,164,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,2,10,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,4,1,1,20210103,CHI,DAL
Shot Chart Detail,0022000120,79,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,1,5,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,24,22,1,1,20210107,DEN,DAL
Shot Chart Detail,0022000120,107,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,1,2,59,Missed Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-77,174,1,0,20210107,DEN,DAL
Shot Chart Detail,0022000120,111,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,1,2,37,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,26,1,1,20210107,DEN,DAL
Shot Chart Detail,0022000120,338,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,2,2,14,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,22,1,1,20210107,DEN,DAL
Shot Chart Detail,0022000120,400,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,3,9,29,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,47,71,1,0,20210107,DEN,DAL
Shot Chart Detail,0022000120,417,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,3,7,18,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-3,19,1,1,20210107,DEN,DAL
Shot Chart Detail,0022000120,594,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,6,15,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-3,27,1,1,20210107,DEN,DAL
Shot Chart Detail,0022000139,193,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,2,8,47,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,1,1,0,20210109,DAL,ORL
