GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022000067,121,1628366,Lonzo Ball,1610612740,New Orleans Pelicans,1,1,48,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,-11,1,0,20201231,OKC,NOP
Shot Chart Detail,0022000100,134,1628366,Lonzo Ball,1610612740,New Orleans Pelicans,1,3,1,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,59,1,0,20210104,NOP,IND
Shot Chart Detail,0022000100,589,1628366,Lonzo Ball,1610612740,New Orleans Pelicans,4,5,35,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,-1,1,1,20210104,NOP,IND
Shot Chart Detail,0022000114,121,1628366,Lonzo Ball,1610612740,New Orleans Pelicans,1,1,35,Made Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,220,50,1,1,20210106,NOP,OKC
Shot Chart Detail,0022000227,321,1628366,Lonzo Ball,1610612740,New Orleans Pelicans,2,2,2,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,10,1,0,20210121,UTA,NOP
Shot Chart Detail,0022000227,358,1628366,Lonzo Ball,1610612740,New Orleans Pelicans,3,10,34,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,4,1,0,20210121,UTA,NOP
Shot Chart Detail,0022000246,640,1628366,Lonzo Ball,1610612740,New Orleans Pelicans,4,1,19,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,3,1,1,20210123,MIN,NOP
Shot Chart Detail,0022000293,251,1628366,Lonzo Ball,1610612740,New Orleans Pelicans,2,4,52,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,-2,1,0,20210129,NOP,MIL
Shot Chart Detail,0022000335,200,1628366,Lonzo Ball,1610612740,New Orleans Pelicans,2,8,21,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,229,6,1,1,20210203,NOP,PHX
Shot Chart Detail,0022000335,371,1628366,Lonzo Ball,1610612740,New Orleans Pelicans,3,8,21,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,222,-11,1,1,20210203,NOP,PHX
Shot Chart Detail,0022000355,49,1628366,Lonzo Ball,1610612740,New Orleans Pelicans,1,8,20,Made Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,225,57,1,1,20210206,NOP,MEM
Shot Chart Detail,0022000377,431,1628366,Lonzo Ball,1610612740,New Orleans Pelicans,3,6,38,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,29,1,1,20210209,NOP,HOU
Shot Chart Detail,0022000377,458,1628366,Lonzo Ball,1610612740,New Orleans Pelicans,3,4,46,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,228,55,1,0,20210209,NOP,HOU
Shot Chart Detail,0022000385,284,1628366,Lonzo Ball,1610612740,New Orleans Pelicans,2,3,38,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,41,1,0,20210210,CHI,NOP
