GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022000061,261,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,2,3,45,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,225,52,1,0,20201230,LAC,POR
Shot Chart Detail,0022000078,639,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,4,4,13,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,57,1,1,20210101,GSW,POR
Shot Chart Detail,0022000092,322,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,2,2,54,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,229,25,1,0,20210103,GSW,POR
Shot Chart Detail,0022000092,662,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,4,3,53,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,227,54,1,1,20210103,GSW,POR
Shot Chart Detail,0022000106,565,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,4,5,14,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,222,63,1,1,20210105,POR,CHI
Shot Chart Detail,0022000122,133,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,1,2,49,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,222,74,1,0,20210107,POR,MIN
Shot Chart Detail,0022000122,182,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,2,11,0,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,222,8,1,1,20210107,POR,MIN
Shot Chart Detail,0022000122,533,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,4,8,56,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,229,-4,1,0,20210107,POR,MIN
Shot Chart Detail,0022000140,109,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,1,3,13,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,17,1,0,20210109,SAC,POR
Shot Chart Detail,0022000155,263,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,2,3,6,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,28,1,0,20210111,POR,TOR
Shot Chart Detail,0022000178,88,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,1,3,41,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,16,1,1,20210114,POR,IND
Shot Chart Detail,0022000287,543,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,4,2,52,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,241,18,1,0,20210128,HOU,POR
Shot Chart Detail,0022000298,420,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,3,2,54,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,237,19,1,0,20210130,CHI,POR
Shot Chart Detail,0022000351,128,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,1,0,9,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,1,1,0,20210206,NYK,POR
Shot Chart Detail,0022000380,187,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,2,10,25,Made Shot,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,229,63,1,1,20210209,POR,ORL
Shot Chart Detail,0022000380,513,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,4,7,26,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,-4,1,0,20210209,POR,ORL
Shot Chart Detail,0022000404,236,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,2,6,29,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,12,1,0,20210212,POR,CLE
Shot Chart Detail,0022000404,439,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,3,3,19,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,229,77,1,0,20210212,POR,CLE
Shot Chart Detail,0022000432,571,2546,Carmelo Anthony,1610612757,Portland Trail Blazers,4,6,48,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,229,-1,1,0,20210216,OKC,POR
